,Contents,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
0,Table 4: Directly age-standardised ¹ registration rates per 100‚000 population of newly diagnosed cases of cancer (3rd digit):,,,,,,,,,,,,         England
1,site‚ sex and region of residence‚ 2010,,,,,,,,,,,,Regions
2,,,,,,,,,,,,,   Registered by December 2011
3,,,,,,,,,,,,,
4,,,,,,,,,,,,,
5,ICD-10,Site description,,,Region 2,,,,,,,,
6,code,,,England,North,North,Yorkshire,East,West,East,London,South,South
7,,,,,East,West,and The,Midlands,Midlands,,,East,West
8,,,,,,,Humber,,,,,,
9,,,,,,,,,,,,,
10,"C00-C97,",All registrations           ,M,624.8,642.4,652.9,649.8,663.5,634.7,550.1,507.7,648.1,685.4
11,"D00-D48 3,4",                            ,F,614.3,695.4,616,643.2,692.4,641.5,558.6,470.5,647.3,670.2
12,,,,,,,,,,,,,
13,C00-C97 4,All cancers                 ,M,561.2,586.2,609.5,581.5,585.8,574.2,488.2,462.3,577.5,597.4
14,        ,                            ,F,463.2,493.5,513.4,475.9,495.2,465.5,400.3,375.5,476.2,494.3
15,,,,,,,,,,,,,
16,C00-C97 ,All cancers excluding nmsc 5,M,422.6,434.6,458.7,433.6,427,427.9,404.5,405.8,402.4,425.3
17,excl.C44,                            ,F,369.6,387.7,403.4,377.3,387.4,367.6,353.9,341.5,355.2,373.9
18,,,,,,,,,,,,,
19,C00-C14 ,"Malignant neoplasm of lip,  ",M,13.4,14.4,16.2,14.3,14.6,13.4,10.4,14,11.6,13.4
20,        ,oral cavity and pharynx     ,F,6.3,6.5,6.9,6.3,6.8,7.1,5.4,6.4,5.8,6.2
21,,,,,,,,,,,,,
22,C00     ,Malignant neoplasm of lip   ,M,0.5,1.1,0.5,0.5,0.4,0.3,0.7,0.4,0.5,0.6
23,        ,                            ,F,0.2,:,0.2,0.3,:,0.2,0.2,:,0.2,0.4
24,,,,,,,,,,,,,
25,C01     ,Malignant neoplasm of       ,M,1.5,2.1,1.7,1.6,1.5,1.4,1.2,1.1,1.5,1.8
26,        ,base of tongue              ,F,0.4,:,0.5,0.5,:,0.6,0.5,0.3,0.3,0.5
27,,,,,,,,,,,,,
28,C02     ,Malignant neoplasm of       ,M,2.3,2.2,2.4,2.5,2.2,2.7,2.2,2.2,2.2,2
29,        ,other and unspecified       ,F,1.3,1.4,1.2,1.4,1.4,1.4,1.1,1.4,1.2,1.2
30,        ,parts of tongue             , ,,,,,,,,,,
31,,,,,,,,,,,,,
32,C03     ,Malignant neoplasm of gum   ,M,0.5,:,0.4,0.4,1,0.4,0.5,0.7,0.3,0.6
33,        ,                            ,F,0.3,:,0.2,:,0.4,0.5,0.4,0.4,0.3,0.3
34,,,,,,,,,,,,,
35,C04     ,Malignant neoplasm of       ,M,0.9,0.9,1.4,1.2,1,0.9,0.7,0.8,0.7,0.7
36,        ,floor of mouth              ,F,0.4,0.8,0.8,0.4,0.3,:,0.3,0.3,0.4,0.3
