,Unnamed: 0,Contents,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,"Table 4: Directly age-standardised1 and age-specific rates per 100,000 population of death from cancer (third digit): ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,"site‚ sex and age‚ England, 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,"Directly 
age-standardised 
rate",,,,Age group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,ICD-10 code,Site description,,,,All ages,,Under 1,,1 to 4,,5 to 9,,10 to 14,,15 to 19,,20 to 24,,25 to 29,,30 to 34,,35 to 39,,40 to 44,,45 to 49,,50 to 54,,55 to 59,,60 to 64,,65 to 69,,70 to 74,,75 to 79,,80 to 84,,85 to 89,,90 and over,
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,C00-C97 excl.C442,All cancers excluding non-melanoma skin cancer (nmsc),Males,329.5,,265.6,,1.5,u,2,,2.3,,2.3,,3.7,,4,,5.8,,9.3,,17.1,,28.4,,56.9,,112.4,,219.3,,398,,628.6,,972.8,,1432.3,,2085.4,,2919,,3818.4,
9,,C00-C97 excl.C442,All cancers excluding non-melanoma skin cancer (nmsc),Females,226.6,,226.6,,1.2,u,1.4,u,1.8,,1.6,,2.8,,3.3,,6.9,,12.4,,24.3,,39.2,,72.5,,121.9,,196.9,,311.7,,464.5,,671.7,,957.1,,1326.2,,1674.7,,1955.3,
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,C00-C14,"Malignant neoplasm of lip, oral cavity and pharynx",Males,6.6,,5.7,,,u,,u,,u,,u,,u,,u,0.2,u,0.2,u,0.5,u,1.2,,3.3,,5.6,,10.5,,16.2,,18.4,,19.8,,19.3,,19.9,,37.5,,37.1,
12,,C00-C14,"Malignant neoplasm of lip, oral cavity and pharynx",Females,2.6,,2.6,,,u,,u,,u,,u,,u,,u,,u,0.2,u,0.3,u,0.5,u,1,,2.2,,3.7,,5,,6.2,,6.2,,8.3,,13.4,,14.4,,24.5,
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,C00,Malignant neoplasm of lip,Males,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u
15,,C00,Malignant neoplasm of lip,Females,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u
16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,C01,Malignant neoplasm of base of tongue,Males,0.1,,0.1,,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,0.2,u,0.5,u,0.3,u,,u,,u,,u,,u
18,,C01,Malignant neoplasm of base of tongue,Females,0,u,0,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,0.3,u,,u,,u,,u,,u
19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,C02,Malignant neoplasm of other and unspecified parts of tongue,Males,1.7,,1.4,,,u,,u,,u,,u,,u,,u,,u,,u,0.2,u,0.3,u,0.8,u,2.2,,2.7,,4.3,,4.6,,4.9,,4.3,,3.5,,9,,7.1,u
21,,C02,Malignant neoplasm of other and unspecified parts of tongue,Females,0.7,,0.7,,,u,,u,,u,,u,,u,,u,,u,,u,0.2,u,,u,0.4,u,0.5,u,1,u,1.6,,1.5,,1.4,u,2.1,,2.9,,3.5,u,6,
22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,C03,Malignant neoplasm of gum,Males,0.2,,0.2,,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,0.2,u,,u,0.4,u,0.6,u,0.5,u,0.5,u,1.2,u,1.6,u,2.9,u
24,,C03,Malignant neoplasm of gum,Females,0.2,,0.2,,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,0.3,u,0.6,u,0.4,u,1.9,u,1.2,u,2.1,u
25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,C04,Malignant neoplasm of floor of mouth,Males,0.1,,0.1,,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,0.2,u,,u,0.3,u,0.3,u,,u,,u,1,u,,u
27,,C04,Malignant neoplasm of floor of mouth,Females,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,0.2,u,,u,,u,,u,,u,,u
28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,,C05,Malignant neoplasm of palate,Males,0.2,,0.2,,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,0.2,u,0.2,u,0.8,u,0.7,u,0.5,u,0.7,u,0.5,u,,u,,u
30,,C05,Malignant neoplasm of palate,Females,0.1,,0.1,,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,0.3,u,,u,0.5,u,0.5,u,0.3,u,,u,0.6,u,,u
31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,,C06,Malignant neoplasm of other and unspecified parts of mouth,Males,0.8,,0.7,,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,0.4,u,0.4,u,1.4,,1.5,,1.8,,3.1,,1.4,u,3.8,,5.8,u,,u
33,,C06,Malignant neoplasm of other and unspecified parts of mouth,Females,0.5,,0.5,,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,0.4,u,0.4,u,1.1,u,0.7,u,0.9,u,1.4,u,2.8,,2.8,u,7.8,
34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,C07,Malignant neoplasm of parotid gland,Males,0.5,,0.4,,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,0.2,u,,u,0.5,u,0.4,u,0.5,u,0.8,u,2.3,u,1.7,u,7,,10,u
36,,C07,Malignant neoplasm of parotid gland,Females,0.2,,0.2,,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,0.2,u,0.3,u,0.6,u,0.5,u,0.6,u,1.5,u,1.6,u,1.8,u
37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,C08,Malignant neoplasm of other and unspecified major salivary glands,Males,0.1,,0.1,,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,0.3,u,1.1,u,0.5,u,1.3,u,,u
39,,C08,Malignant neoplasm of other and unspecified major salivary glands,Females,0,u,0.1,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,0.4,u,0.6,u,,u
40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,,C09,Malignant neoplasm of tonsil,Males,0.8,,0.7,,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,0.6,u,0.7,u,1.4,,2.3,,2.3,,2.6,,2.4,,1.7,u,1,u,,u
42,,C09,Malignant neoplasm of tonsil,Females,0.2,,0.2,,,u,,u,,u,,u,,u,,u,,u,,u,,u,0.2,u,0.3,u,0.4,u,0.4,u,0.3,u,0.7,u,0.4,u,0.5,u,,u,,u,1.5,u
43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,,C10,Malignant neoplasm of oropharynx,Males,0.7,,0.6,,,u,,u,,u,,u,,u,,u,,u,,u,,u,0.2,u,0.4,u,0.7,u,1.4,,2.3,,2.4,,2.7,,1.4,u,2.6,u,1,u,,u
