,Unnamed: 0,Contents,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
0,,,,,,,,,,,,,,
1,,"Table 4: Registrations of newly diagnosed cases of cancer (third digit): site‚ sex and region of residence‚ England, 2017",,,,,,,,,,,,
2,,,,,,,,,,,,,,
3,,,,,,Region,,,,,,,,
4,,,,,,North East,North West,Yorkshire and The Humber,East Midlands,West Midlands,East,London,South East,South West
5,,ICD-10 code,Site description,Sex,England,,,,,,,,,
6,,,,,,,,,,,,,,
7,,,,,,E12000001,E12000002,E12000003,E12000004,E12000005,E12000006,E12000007,E12000008,E12000009
8,,,,,,,,,,,,,,
9,,C00-C97 excl.C44,All cancers excluding non-melanoma skin cancer (nmsc),Males,156444,8478,21274,16112,13938,16717,18372,17118,26681,17754
10,,C00-C97 excl.C44,All cancers excluding non-melanoma skin cancer (nmsc),Females,149239,8295,20843,15172,13053,15755,16918,17245,25034,16924
11,,C00-C14,"Malignant neoplasm of lip, oral cavity and pharynx",Males,5038,296,799,552,450,520,502,593,790,536
12,,C00-C14,"Malignant neoplasm of lip, oral cavity and pharynx",Females,2549,133,362,257,237,276,289,279,386,330
13,,C00,Malignant neoplasm of lip,Males,114,5,14,14,10,10,20,12,25,4
14,,C00,Malignant neoplasm of lip,Females,81,2,10,7,6,7,17,5,16,11
15,,C01,Malignant neoplasm of base of tongue,Males,868,63,154,78,87,86,77,80,130,113
16,,C01,Malignant neoplasm of base of tongue,Females,244,20,39,28,16,21,25,22,34,39
17,,C02,Malignant neoplasm of other and unspecified parts of tongue,Males,715,33,101,81,69,76,75,97,112,71
18,,C02,Malignant neoplasm of other and unspecified parts of tongue,Females,518,20,57,39,50,65,75,57,77,78
19,,C03,Malignant neoplasm of gum,Males,217,13,30,15,22,24,28,30,37,18
20,,C03,Malignant neoplasm of gum,Females,199,6,29,17,16,27,32,23,29,20
21,,C04,Malignant neoplasm of floor of mouth,Males,315,21,71,43,25,31,28,29,36,31
22,,C04,Malignant neoplasm of floor of mouth,Females,147,11,26,22,14,19,11,14,17,13
23,,C05,Malignant neoplasm of palate,Males,229,12,48,28,20,18,23,22,38,20
24,,C05,Malignant neoplasm of palate,Females,199,16,21,27,18,26,16,23,27,25
25,,C06,Malignant neoplasm of other and unspecified parts of mouth,Males,287,17,42,24,24,35,28,48,43,26
26,,C06,Malignant neoplasm of other and unspecified parts of mouth,Females,246,11,43,19,32,22,26,25,43,25
27,,C07,Malignant neoplasm of parotid gland,Males,230,9,18,16,26,24,22,40,39,36
28,,C07,Malignant neoplasm of parotid gland,Females,172,9,17,17,16,14,20,30,27,22
29,,C08,Malignant neoplasm of other and unspecified major salivary glands,Males,63,5,13,7,8,5,3,7,5,10
30,,C08,Malignant neoplasm of other and unspecified major salivary glands,Females,63,2,11,3,3,8,7,9,9,11
31,,C09,Malignant neoplasm of tonsil,Males,1219,76,172,169,94,115,132,120,206,135
32,,C09,Malignant neoplasm of tonsil,Females,413,20,66,52,36,37,40,34,64,64
33,,C10,Malignant neoplasm of oropharynx,Males,178,7,37,16,12,18,15,21,29,23
34,,C10,Malignant neoplasm of oropharynx,Females,60,5,11,7,9,4,7,5,7,5
35,,C11,Malignant neoplasm of nasopharynx,Males,153,8,23,11,9,16,16,29,26,15
36,,C11,Malignant neoplasm of nasopharynx,Females,65,1,10,8,3,12,3,15,10,3
37,,C12,Malignant neoplasm of pyriform sinus,Males,233,19,32,28,20,34,13,32,32,23
38,,C12,Malignant neoplasm of pyriform sinus,Females,52,6,5,6,4,4,3,8,11,5
39,,C13,Malignant neoplasm of hypopharynx,Males,191,6,36,22,22,26,18,23,31,7
40,,C13,Malignant neoplasm of hypopharynx,Females,86,4,16,5,14,8,7,9,15,8
41,,C14,"Malignant neoplasm of other and ill-defined sites in the lip, oral cavity and pharynx",Males,26,2,8,0,2,2,4,3,1,4
